Date,Open,High,Low,Close,Adj Close,Volume,Stock
2023-09-14,67627.03125,67771.046875,67336.4609375,67519.0,67519.0,8100,^BSESN
2023-09-15,67659.90625,67927.2265625,67614.421875,67838.6328125,67838.6328125,6800,^BSESN
2023-09-18,67665.578125,67803.1484375,67532.828125,67596.84375,67596.84375,10300,^BSESN
2023-09-20,67080.1796875,67294.15625,66728.140625,66800.84375,66800.84375,13400,^BSESN
2023-09-21,66608.671875,66608.671875,66128.7109375,66230.2421875,66230.2421875,8400,^BSESN
2023-09-22,66215.0390625,66445.46875,65952.828125,66009.1484375,66009.1484375,8300,^BSESN
2023-09-25,66082.9921875,66225.6328125,65764.03125,66023.6875,66023.6875,6800,^BSESN
2023-09-26,66071.6328125,66078.2578125,65865.6328125,65945.46875,65945.46875,6500,^BSESN
2023-09-27,65925.640625,66172.2734375,65549.9609375,66118.6875,66118.6875,5400,^BSESN
2023-09-28,66406.0078125,66406.0078125,65423.390625,65508.3203125,65508.3203125,7800,^BSESN
2023-09-29,65743.9296875,66151.6484375,65570.3828125,65828.40625,65828.40625,8400,^BSESN
2023-10-03,65813.421875,65813.5,65344.58984375,65512.1015625,65512.1015625,8600,^BSESN
2023-10-04,65330.6484375,65332.51953125,64878.76953125,65226.0390625,65226.0390625,8600,^BSESN
2023-10-05,65598.2578125,65753.203125,65443.33984375,65631.5703125,65631.5703125,8000,^BSESN
2023-10-06,65867.5390625,66095.8125,65762.328125,65995.6328125,65995.6328125,10200,^BSESN
2023-10-09,65560.0703125,65789.9765625,65434.609375,65512.390625,65512.390625,7300,^BSESN
2023-10-10,65662.2734375,66180.171875,65662.2734375,66079.359375,66079.359375,5100,^BSESN
2023-10-11,66376.421875,66592.15625,66299.7890625,66473.046875,66473.046875,16800,^BSESN
2023-10-12,66564.5703125,66577.6015625,66339.421875,66408.390625,66408.390625,7100,^BSESN
2023-10-13,66034.2109375,66478.8984375,65895.40625,66282.7421875,66282.7421875,13400,^BSESN
2023-10-16,66238.1484375,66342.75,66039.3828125,66166.9296875,66166.9296875,6600,^BSESN
2023-10-17,66558.1484375,66559.8203125,66309.1796875,66428.09375,66428.09375,7900,^BSESN
2023-10-18,66473.7421875,66475.2734375,65842.1015625,65877.0234375,65877.0234375,7100,^BSESN
2023-10-19,65484.609375,65869.6484375,65343.5,65629.2421875,65629.2421875,11000,^BSESN
2023-10-20,65437.0703125,65555.140625,65308.609375,65397.62109375,65397.62109375,14300,^BSESN
2023-10-23,65419.01953125,65453.921875,64502.6796875,64571.87890625,64571.87890625,6800,^BSESN
2023-10-25,64619.26953125,64787.078125,63912.16015625,64049.05859375,64049.05859375,7100,^BSESN
2023-10-26,63774.16015625,63774.16015625,63092.98046875,63148.1484375,63148.1484375,12900,^BSESN
2023-10-27,63559.3203125,63913.12890625,63393.37109375,63782.80078125,63782.80078125,12600,^BSESN
2023-10-30,63885.55859375,64184.578125,63431.44921875,64112.6484375,64112.6484375,5600,^BSESN
2023-10-31,64449.6484375,64452.3203125,63812.53125,63874.9296875,63874.9296875,15000,^BSESN
2023-11-01,63829.87109375,63896.05078125,63550.4609375,63591.328125,63591.328125,6100,^BSESN
2023-11-02,64033.3984375,64202.640625,63815.3515625,64080.8984375,64080.8984375,6400,^BSESN
2023-11-03,64444.8984375,64535.19140625,64275.390625,64363.78125,64363.78125,16100,^BSESN
2023-11-06,64835.23046875,64992.5390625,64617.48046875,64958.69140625,64958.69140625,8100,^BSESN
2023-11-07,65021.2890625,65021.2890625,64638.1015625,64942.3984375,64942.3984375,7700,^BSESN
2023-11-08,65101.94921875,65124.0,64851.05859375,64975.609375,64975.609375,6400,^BSESN
2023-11-09,65025.3203125,65046.55859375,64768.76171875,64832.19921875,64832.19921875,11600,^BSESN
2023-11-10,64756.109375,65014.05859375,64580.94921875,64904.6796875,64904.6796875,11100,^BSESN
2023-11-13,65158.30859375,65176.9609375,64853.359375,64933.87109375,64933.87109375,7700,^BSESN
2023-11-15,65461.5390625,65747.6484375,65373.5,65675.9296875,65675.9296875,7500,^BSESN
2023-11-16,65665.8671875,66358.3671875,65507.01953125,65982.4765625,65982.4765625,11600,^BSESN
2023-11-17,65788.7890625,66037.6875,65639.7421875,65794.7265625,65794.7265625,10900,^BSESN
2023-11-20,65787.5078125,65844.0078125,65547.796875,65655.1484375,65655.1484375,7200,^BSESN
2023-11-21,65860.4609375,66082.359375,65849.171875,65930.7734375,65930.7734375,5400,^BSESN
2023-11-22,65839.6171875,66063.4296875,65664.8515625,66023.2421875,66023.2421875,4300,^BSESN
2023-11-23,66084.3671875,66235.2421875,65980.5,66017.8125,66017.8125,7500,^BSESN
2023-11-24,66000.2890625,66101.640625,65894.046875,65970.0390625,65970.0390625,10800,^BSESN
2023-11-28,66063.71875,66256.203125,65906.6484375,66174.203125,66174.203125,5100,^BSESN
2023-11-29,66381.2578125,66946.28125,66374.5234375,66901.90625,66901.90625,8300,^BSESN
2023-11-30,66963.203125,67069.890625,66610.3515625,66988.4375,66988.4375,11100,^BSESN
2023-12-01,67181.1484375,67564.328125,67149.0703125,67481.1875,67481.1875,21700,^BSESN
2023-12-04,68435.34375,68918.21875,68274.46875,68865.1171875,68865.1171875,30900,^BSESN
2023-12-05,69168.53125,69381.3125,68954.8828125,69296.140625,69296.140625,9600,^BSESN
2023-12-06,69534.9296875,69744.6171875,69395.0078125,69653.7265625,69653.7265625,10400,^BSESN
2023-12-07,69694.1484375,69695.328125,69320.53125,69521.6875,69521.6875,26000,^BSESN
